,transdate,cnt
7,2020-04-15,0
8,2020-04-16,0
9,2020-04-17,0
10,2020-04-18,0
11,2020-04-19,0
14,2020-04-22,0
21,2020-04-29,0
22,2020-04-30,0
27,2020-05-05,0
29,2020-05-07,0
36,2020-05-14,0
40,2020-05-18,0
43,2020-05-21,0
45,2020-05-23,0
48,2020-05-26,0
52,2020-05-30,0
53,2020-05-31,0
124,2020-08-10,0
132,2020-08-18,0
136,2020-08-22,0
141,2020-08-27,0
142,2020-08-28,0
190,2020-10-15,0
191,2020-10-16,0
192,2020-10-17,0
193,2020-10-18,0
194,2020-10-19,0
195,2020-10-20,0
196,2020-10-21,0
197,2020-10-22,0
198,2020-10-23,0
199,2020-10-24,0
200,2020-10-25,0
201,2020-10-26,0
202,2020-10-27,0
203,2020-10-28,0
205,2020-10-30,0
207,2020-11-01,0
212,2020-11-06,0
215,2020-11-09,0
216,2020-11-10,0
217,2020-11-11,0
218,2020-11-12,0
219,2020-11-13,0
220,2020-11-14,0
221,2020-11-15,0
222,2020-11-16,0
